Id,BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
16,life,solid cotton collar neck womens shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1199",599,50% off,Westernwear-Women
17,life,solid cotton lycra round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Small","Rs
599",299,50% off,Westernwear-Women
18,life,printed cotton collar neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",649,50% off,Westernwear-Women
19,van heusen,solid cotton v neck womens formal shirt - maroon,"Size:Large,Small,X-Small","Rs
1999",799,60% off,Westernwear-Women
20,life,regular fit regular length denim womens jeans - mid stone,"Size:26,28,30,32,34,36","Rs
1999",999,50% off,Westernwear-Women
21,fratini,solid round neck viscose womens regular dress - olive,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1499",749,50% off,Westernwear-Women
22,life,solid wide neck viscose womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",649,50% off,Westernwear-Women
23,stop,printed regular neck cotton womens formal shirt - ecru,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
799",399,50% off,Westernwear-Women
24,life,regular fit regular length denim womens jeans - mid stone,"Size:26,28,30,32,34,36","Rs
1999",999,50% off,Westernwear-Women
25,zink london,floral viscose sweetheart neck womens dress - green,"Size:Medium,Small,X-Small,XX-Large","Rs
2799",1679,40% off,Westernwear-Women
26,life,printed viscose v neck womens regular woven top - off white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1199",599,50% off,Westernwear-Women
27,life,printed cotton blend v neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
28,zink z,solid cotton blend v neck womens top - maroon,"Size:Large,Medium,Small,X-Large,X-Small",990,1299,50% off,Westernwear-Women
29,stop,printed regular neck cotton womens formal shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
899",449,50% off,Westernwear-Women
30,life,printed cotton blend round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
31,life,embroidered viscose square neck womens regular top - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1199",599,50% off,Westernwear-Women
32,life,regular fit regular length denim womens jeans - indigo,"Size:26,28,30,32,34,36,Medium","Rs
1699",849,50% off,Westernwear-Women
33,life,printed cotton lycra round neck womens t-shirt - pink mix,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Westernwear-Women
34,cover story,solid round neck cotton womens regular dress - dark brown,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2890",1445,50% off,Westernwear-Women
35,infuse,printed square neck rayon womens dress - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1999",999,50% off,Westernwear-Women
36,fratini,printed polyester blend round neck womens a-line dress - white,"Size:Large,Medium,Small,X-Large,XX-Large",1100,1799,50% off,Westernwear-Women
37,allen solly,solid rayon regular fit womens trousers - black,"Size:26,28,30,32,34,36","Rs
1299",1039,20% off,Westernwear-Women
38,infuse,regular fit regular length cotton womens loungewear short set - pink,"Size:Large,Medium,Small,X-Small","Rs
899",359,60% off,Westernwear-Women
39,van heusen,solid polyester collar neck womens shirt - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1699",999,41% off,Westernwear-Women
40,life,solid viscose round neck womens regular top - sage,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
41,cover story,printed polyester round neck womens dress - black,"Size:Medium,Small,X-Large,X-Small","Rs
4490",3143,30% off,Westernwear-Women
42,life,printed collar neck polyester womens regular top - navy,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
43,zink london,lace polyester round neck womens dress - green,"Size:Large,Medium,Small,X-Large","Rs
3299",1979,40% off,Westernwear-Women
44,stop,solid viscose v-neck womens regular top - mustard,"Size:Large,Medium,Small,XX-Large","Rs
999",499,50% off,Westernwear-Women
45,fratini,printed v-neck polyester womens regular dress - natural,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1899",949,50% off,Westernwear-Women
46,rare,floral polyester off shoulder womens flared dress - black,"Size:Large,Medium,Small,X-Large","Rs
1899",854,55% off,Westernwear-Women
47,life,printed viscose wide neck womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",649,50% off,Westernwear-Women
48,altlife,printed skinny fit cotton blend womens active wear track pants - grey,"Size:28,30,32,34,36","Rs
999",499,50% off,Westernwear-Women
49,stop,printed regular neck cotton womens formal shirt - blue denim,"Size:Medium,Small,X-Small,XX-Large","Rs
899",449,50% off,Westernwear-Women
50,life,regular fit regular length denim womens jeans - olive,"Size:26,28,30,32,34,36","Rs
1999",999,50% off,Westernwear-Women
51,rare,solid polyester round neck womens a-line dress - navy,"Size:Large,Medium,Small,X-Large","Rs
1499",674,55% off,Westernwear-Women
52,zink london,solid polyester v neck womens top - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1399",839,40% off,Westernwear-Women
53,life,printed cotton blend collar neck womens t-shirt - red,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
54,madame,printed polyester blend square neck womens dress - green,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
2699",1619,40% off,Westernwear-Women
55,zink london,solid polyester scoop neck womens bodycon dress - baby pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
2499",1499,40% off,Westernwear-Women
56,rare,floral polyester v neck womens flared dress - blue,"Size:Large,Medium,Small,X-Large","Rs
2099",944,55% off,Westernwear-Women
57,fratini,solid round neck viscose womens regular dress - black,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1499",749,50% off,Westernwear-Women
58,iti,solid georgette collar neck womens top - olive,"Size:Small,X-Small","Rs
1499",399,73% off,Westernwear-Women
59,rare,solid comfort fit polyester womens casual wear trousers - black,"Size:Large,Medium,Small,X-Large","Rs
1599",719,55% off,Westernwear-Women
60,levis,graphic cotton round neck womens t-shirt - brown,"Size:Large,Medium,Small,X-Small",1775,1199,30% off,Westernwear-Women
61,cover story,regular fit polyester womens casual trousers - pink,"Size:26,28,30,32,34","Rs
2590",1813,30% off,Westernwear-Women
62,zink london,printed v neck polyester womens a-line dress - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
2299",1149,50% off,Westernwear-Women
63,and,polka dots boat neck viscose womens regular dresses - pink,"Size:8,10,12,14,16,18","Rs
2899",2319,20% off,Westernwear-Women
64,van heusen,solid cotton v neck womens formal shirt - green,"Size:Large,Medium,Small","Rs
1999",799,60% off,Westernwear-Women
65,life,printed cotton lycra round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Westernwear-Women
66,life,solid cotton blend round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large","Rs
899",449,50% off,Westernwear-Women
67,faballey,printed georgette round neck womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2800",2240,20% off,Westernwear-Women
68,levis,tapered fit regular length cotton womens jeans - dk indigo,"Size:26,28,30,32,34",2547,3799,55% off,Westernwear-Women
69,rare,floral polyester v neck womens flared dress - natural,"Size:Large,Medium,Small","Rs
2099",944,55% off,Westernwear-Women
70,rare,solid polyester round neck womens a-line dress - red,"Size:Large,Medium,Small,X-Large","Rs
1999",799,60% off,Westernwear-Women
71,rare,solid georgette round neck womens top - maroon,"Size:Large,Small,X-Large","Rs
1399",559,60% off,Westernwear-Women
72,stop,printed viscose regular neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
999",499,50% off,Westernwear-Women
73,fratini,printed viscose collar neck womens a-line dress - black,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1599",799,50% off,Westernwear-Women
74,life,solid cotton lycra round neck womens t-shirt - off white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Westernwear-Women
75,life,printed jersey round neck womens t-shirt - lilac,"Size:Large,Medium,Small,X-Large,X-Small","Rs
599",299,50% off,Westernwear-Women
76,only,checks cotton womens top - white,"Size:34,36,38,40,42","Rs
1999",1399,30% off,Westernwear-Women
77,life,regular fit regular length cotton lycra womens jeans - white,"Size:26,28,30,32,34,36","Rs
1299",649,50% off,Westernwear-Women
78,van heusen,solid polyester collar neck womens top - black,"Size:Small,X-Small","Rs
1699",999,41% off,Westernwear-Women
79,fratini,solid polyester round neck womens a-line dress - aubergine,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1599",799,50% off,Westernwear-Women
80,life,printed cotton lycra round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Westernwear-Women
81,fratini,solid round neck viscose womens regular dress - tan,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1499",749,50% off,Westernwear-Women
82,kraus,super skinny fit ankle length cotton blend womens jeans - blue,"Size:28,30,32,34,36,38","Rs
1995",1396,30% off,Westernwear-Women
83,life,checks cotton blend collar neck womens regular top - sage,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",649,50% off,Westernwear-Women
84,life,embroidered cotton blend round neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",649,50% off,Westernwear-Women
85,rare,solid polyester blend boat neck womens flared dress - black,"Size:Large,Medium,Small,X-Large","Rs
1699",764,55% off,Westernwear-Women
86,and,solid polyester square neck womens flared dress - sage,"Size:10,12,14,16,18","Rs
2699",2159,20% off,Westernwear-Women
87,life,solid cotton blend round neck womens t-shirt - natural,"Size:Large,Medium,X-Large,X-Small","Rs
899",449,50% off,Westernwear-Women
88,kraus,wide leg fit ankle length cotton womens jeans - blue,"Size:28,30,32","Rs
1695",1525,10% off,Westernwear-Women
89,life,printed jersey round neck womens t-shirt - red,"Size:Large,Medium,Small,X-Small","Rs
699",349,50% off,Westernwear-Women
90,fratini,sanya malhotra regular fit regular length cotton linen womens culottes - olive,"Size:26,28,30,32,34,36",899,1299,50% off,Westernwear-Women
91,fratini,solid square neck polyester womens woven top - natural,"Size:Large,Medium,X-Large,XX-Large","Rs
999",499,50% off,Westernwear-Women
92,fratini,solid v-neck tencel womens a-line dress - light blue,"Size:Large,Small","Rs
1699",849,50% off,Westernwear-Women
93,zink london,printed cotton round neck womens t-shirt - brown,Size:X-Large,"Rs
1299",399,69% off,Westernwear-Women
94,life,regular fit regular length cotton lycra womens jeans - mid stone,"Size:26,28,30,32","Rs
999",499,50% off,Westernwear-Women
95,zink london,textured polyester round neck womens straight top - natural,"Size:Large,Small,X-Small","Rs
1399",839,40% off,Westernwear-Women
96,allen solly,printed stylized polyester womens fit and flare dress - grey,"Size:Large,Medium,Small,X-Large","Rs
2499",1499,40% off,Westernwear-Women
97,stop,solid polyester regular neck womens top - sage,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1299",649,50% off,Westernwear-Women
98,only,lace cotton collar neck womens top - red,"Size:34,36,38,40,42","Rs
2499",1499,40% off,Westernwear-Women
99,fratini,regular fit regular length cotton blend womens jeans - white,"Size:28,30,32,34,36","Rs
1299",649,50% off,Westernwear-Women
100,fratini,printed square neck polyester womens regular dress - pink,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1699",849,50% off,Westernwear-Women
101,van heusen,solid polyester v neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1699",999,41% off,Westernwear-Women
102,only,self design viscose square neck womens top - white,"Size:34,36,38,40,42","Rs
2299",1379,40% off,Westernwear-Women
103,life,printed blended round neck womens shift dress - navy,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",749,50% off,Westernwear-Women
104,zink london,solid collar neck polyester womens casual shirt - green,"Size:Medium,Small,XX-Large","Rs
1699",849,50% off,Westernwear-Women
105,life,printed cotton lycra round neck womens t-shirt - sage,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Westernwear-Women
106,faballey,embroidered cotton square neck womens regular dress - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2600",2080,20% off,Westernwear-Women
107,life,printed cotton blend round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
108,infuse,floral rayon v neck womens strappy dress - pista green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1499",749,50% off,Westernwear-Women
109,kraus,baggy fit ankle length cotton womens jeans - light blue,"Size:28,30,32,34","Rs
1595",1116,30% off,Westernwear-Women
110,life,printed cotton lycra round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Westernwear-Women
111,fratini,solid polyester blend round neck womens a-line dress - pink,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1899",949,50% off,Westernwear-Women
112,madame,solid polyester v neck womens top - blush,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1699",1189,30% off,Westernwear-Women
113,kraus,super skinny fit ankle length cotton blend womens jeans - dark blue,"Size:28,30,32,34,36,38","Rs
1895",947,50% off,Westernwear-Women
114,kraus,skinny fit full length cotton blend womens jeans - navy,"Size:28,30,32,36","Rs
1895",947,50% off,Westernwear-Women
115,stop,printed regular neck cotton womens formal shirt - white,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
899",449,50% off,Westernwear-Women
116,life,regular fit regular length denim womens jeans - pink,"Size:26,28,30,32,34,36","Rs
1999",999,50% off,Westernwear-Women
117,zink london,printed cotton collar neck womens dress - blue,"Size:Large,Medium,Small,X-Small,XX-Large","Rs
2899",1739,40% off,Westernwear-Women
118,life,skinny fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36","Rs
999",499,50% off,Westernwear-Women
119,stop,solid regular neck cotton blend womens formal shirt - powder blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
899",449,50% off,Westernwear-Women
120,altlife,solid polyester blend ankle length womens tights - misty lilac,"Size:28,30,32,34,36","Rs
1299",649,50% off,Westernwear-Women
121,life,solid cotton wide neck womens a-line dress - powder blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1699",849,50% off,Westernwear-Women
122,allen solly,printed v-neck viscose womens fit and flare dress - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2499",1499,40% off,Westernwear-Women
123,stop,solid regular fit polyester womens formal pants - black,"Size:28,30,34,36","Rs
1699",849,50% off,Westernwear-Women
124,and,solid polyester v neck womens regular dress - wine,"Size:8,18","Rs
2899",2319,20% off,Westernwear-Women
125,rare,floral polyester off shoulder womens regular top - blue,"Size:Large,Small","Rs
999",499,50% off,Westernwear-Women
126,zink london,stripes cotton round neck womens straight top - multi,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1399",699,50% off,Westernwear-Women
127,life,fit above knee denim womens casual skirt - black,"Size:26,28,30,32,34,36","Rs
1299",649,50% off,Westernwear-Women
128,fratini,printed polyester round neck womens a-line dress - yellow,"Size:Error Size,Large,Medium,Small,X-Large,XX-Large","Rs
1999",999,50% off,Westernwear-Women
129,rare,floral polyester round neck womens flared dress - black,"Size:Large,Medium,Small,X-Large","Rs
1999",899,55% off,Westernwear-Women
130,latin quarters,solid polyester womens regular blouse - wine,"Size:S,M,L,XL","Rs
1899",949,50% off,Westernwear-Women
131,fratini,printed polyester blend round neck womens regular top - yellow,"Size:Medium,Small","Rs
999",499,50% off,Westernwear-Women
132,zink london,embroidered viscose mandarin womens top - blue,"Size:Large,Medium,Small,X-Small,XX-Large","Rs
2199",1319,40% off,Westernwear-Women
133,stop,solid regular neck cotton stretch womens formal shirt - bottle green,"Size:Large,Small,X-Large,XX-Large","Rs
999",499,50% off,Westernwear-Women
134,rare,half sleeves regular fit womens casual dress - navy,"Size:Large,Medium,Small,X-Large","Rs
1999",899,55% off,Westernwear-Women
135,latin quarters,printed polyester womens regular dress - red,"Size:S,M,L,XL,XX-Large","Rs
2799",1959,30% off,Westernwear-Women
136,zink london,solid polyester round neck womens top - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1499",899,40% off,Westernwear-Women
137,stop,solid collar neck cotton blend womens regular top - peach,"Size:Large,X-Large,XX-Large","Rs
999",499,50% off,Westernwear-Women
138,cover story,solid viscose collar neck womens top - peach,"Size:Small,X-Small","Rs
2290",1603,30% off,Westernwear-Women
139,stop,printed regular neck cotton womens formal shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
799",399,50% off,Westernwear-Women
140,zink london,printed cotton round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large,X-Small","Rs
799",479,40% off,Westernwear-Women
141,zink london,floral rayon collar neck womens casual shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1599",799,50% off,Westernwear-Women
142,rare,floral georgette round neck womens flared dress - grey,"Size:Large,Medium,Small","Rs
1899",854,55% off,Westernwear-Women
143,van heusen,super slim fit regular cotton womens jeans - navy,"Size:28,32,34","Rs
2199",999,55% off,Westernwear-Women
144,life,printed cotton lycra round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Westernwear-Women
145,rare,solid polyester blend round neck womens a-line dress - black,"Size:Small,X-Large","Rs
1699",764,55% off,Westernwear-Women
146,life,striped cotton blend collar neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
799",399,50% off,Westernwear-Women
147,van heusen,textured polyester blend regular fit womens trousers - maroon,"Size:26,34","Rs
2199",999,55% off,Westernwear-Women
149,madame,solid cotton round neck womens regular top - off white,"Size:Large,Medium,Small,X-Large","Rs
1199",599,55% off,Westernwear-Women
150,fratini,printed viscose blend round neck womens t-shirt - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Nan,799,55% off,Westernwear-Women
151,life,regular fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36","Rs
1299",649,50% off,Westernwear-Women
152,van heusen,solid polyester collar neck womens formal shirt - off white,Size:X-Small,"Rs
1699",999,41% off,Westernwear-Women
153,rare,floral polyester round neck womens regular top - multi,"Size:Large,Medium,Small,X-Large","Rs
1299",584,55% off,Westernwear-Women
154,life,solid polyester blend round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
155,only,stripes polyester round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1799",1079,40% off,Westernwear-Women
156,infuse,graphic cotton round neck womens regular fit t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small","Rs
499",199,60% off,Westernwear-Women
157,and,solid boat neck polyester womens straight dresses - multi,"Size:6,8,10,12,14,16","Rs
2499",1999,20% off,Westernwear-Women
158,rare,stripes polyester round neck womens regular top - navy,"Size:Large,Medium,Small,X-Large","Rs
1199",539,55% off,Westernwear-Women
159,life,solid polyester blend round neck womens t-shirt - dusty pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
160,van heusen,solid polyester blend regular fit womens trousers - pink,Size:26,"Rs
1499",799,47% off,Westernwear-Women
161,zink london,solid polyester round neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1599",959,40% off,Westernwear-Women
162,fratini,printed v-neck viscose womens woven top - pink,"Size:Small,XX-Large","Rs
999",499,50% off,Westernwear-Women
163,life,regular fit regular length denim womens jeans - charcoal,"Size:26,28,30,32,34,36","Rs
1999",999,50% off,Westernwear-Women
164,fratini,solid square neck polyester womens woven top - olive,"Size:Large,Medium,X-Large,XX-Large","Rs
999",499,50% off,Westernwear-Women
165,kraus,wide leg fit ankle length cotton womens jeans - dark blue,"Size:28,30,32,34,36","Rs
1795",1256,30% off,Westernwear-Women
166,madame,solid cotton round neck womens regular top - mauve,"Size:Large,Medium,X-Large","Rs
1499",899,40% off,Westernwear-Women
167,life,printed viscose collar neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
899",449,50% off,Westernwear-Women
168,stop,solid nr roma regular neck womens regular dress - olive,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Nan,1999,50% off,Westernwear-Women
169,life,printed jersey round neck womens t-shirt - off white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Westernwear-Women
170,life,regular fit regular length cotton blend womens joggers - blue,"Size:26,28,30,32,34,36","Rs
1299",649,50% off,Westernwear-Women
171,kraus,baggy fit ankle length cotton womens jeans - blue,"Size:28,30,32,34","Rs
1695",847,50% off,Westernwear-Women
172,zink london,printed polyester boat neck womens top - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1799",1079,40% off,Westernwear-Women
173,latin quarters,printed polyester womens regular dress - red,"Size:S,M,L,XL,XX-Large",Nan,2699,50% off,Westernwear-Women
174,life,embroidered viscose blend round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
899",449,45% off,Westernwear-Women
175,fratini,solid cotton blend round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",Nan,699,50% off,Westernwear-Women
176,fratini,printed viscose collar neck womens a-line dress - yellow,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1599",799,50% off,Westernwear-Women
177,faballey,floral georgette round neck womens dress - blue,"Size:Small,X-Small","Rs
2400",1920,20% off,Westernwear-Women
178,rare,solid polyester choker neck womens regular top - black,"Size:Large,Medium,Small,X-Large","Rs
1299",584,50% off,Westernwear-Women
179,stop,solid regular neck cotton stretch womens formal shirt - white,"Size:Large,X-Large,X-Small,XX-Large",Nan,999,55% off,Westernwear-Women
180,rare,floral polyester round neck womens regular top - multi,"Size:Large,Medium,Small,X-Large","Rs
1399",559,60% off,Westernwear-Women
181,life,regular fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34","Rs
999",499,50% off,Westernwear-Women
182,zink london,solid cotton round neck womens top - lavender,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1899",1139,40% off,Westernwear-Women
183,zink london,checks round neck cotton womens a-line dress - multi,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
2799",1399,50% off,Westernwear-Women
184,stop,solid regular neck cotton blend womens formal shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
899",449,50% off,Westernwear-Women
185,only,solid viscose womens cropped top - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1799",1079,40% off,Westernwear-Women
186,life,printed viscose wide neck womens a-line dress - sage,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",749,50% off,Westernwear-Women
187,life,embroidered blended round neck womens top - natural,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1199",599,50% off,Westernwear-Women
188,latin quarters,printed v neck polyester womens regular fit dresses - peach,"Size:S,M,L,XL","Rs
2699",1889,30% off,Westernwear-Women
189,rare,solid polyester mandarin womens regular top - green,"Size:Medium,Small","Rs
1299",519,60% off,Westernwear-Women
190,latin quarters,dyed rayon blend womens casual wear shrug - peach,"Size:S,M,L,XL,XX-Large","Rs
1399",699,50% off,Westernwear-Women
191,life,solid denim collar neck womens denim jacket - mid stone,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1899",949,50% off,Westernwear-Women
192,rare,solid crepe tie up neck�womens regular top - grey,"Size:Large,Medium","Rs
1399",559,60% off,Westernwear-Women
193,zink london,floral polyester round neck womens short dress - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
2199",1319,40% off,Westernwear-Women
194,rare,solid crepe round neck womens regular top - maroon,Size:Small,"Rs
1099",549,50% off,Westernwear-Women
195,allen solly,printed round neck rayon womens fit and flare dress - red,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
2499",1499,40% off,Westernwear-Women
196,life,regular fit regular length cotton lycra womens jeans - dk indigo,"Size:26,28,30,32,36","Rs
999",499,50% off,Westernwear-Women
197,rare,solid crepe round neck womens regular top - maroon,"Size:Large,Medium,Small,X-Large","Rs
999",499,50% off,Westernwear-Women
198,latin quarters,printed polyester womens regular dress - yellow,"Size:S,M,L,XL",Nan,2799,50% off,Westernwear-Women
199,rare,floral crepe round neck womens flared dress - cream,"Size:Large,Small,X-Large","Rs
1599",719,55% off,Westernwear-Women
200,life,womens viscose collar checks shirts - orange,"Size:Small,X-Small","Rs
899",449,50% off,Westernwear-Women
201,rare,solid modal round neck womens regular top - mustard,Size:X-Large,"Rs
1499",599,60% off,Westernwear-Women
202,van heusen,textured polyester round neck womens jacket - navy,"Size:Large,Medium,Small,X-Large,X-Small","Rs
3499",1499,57% off,Westernwear-Women
203,life,printed jersey round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Westernwear-Women
204,rare,solid polyester boat neck womens regular top - maroon,"Size:Large,Medium,Small,X-Large","Rs
1499",599,60% off,Westernwear-Women
205,life,solid viscose blend round neck womens t-shirt - orange,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Westernwear-Women
206,stop,printed regular neck chambray womens formal shirt - blue,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
899",449,50% off,Westernwear-Women
207,madame,solid georgette square neck womens regular top - mint,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1699",849,50% off,Westernwear-Women
208,rare,floral georgette round neck womens flared dress - black,"Size:Large,Medium,Small,X-Large","Rs
1899",854,55% off,Westernwear-Women
209,rare,solid polyester blend sweetheart neck womens bodycon dress - green,"Size:Large,Medium,X-Large","Rs
2399",1079,50% off,Westernwear-Women
210,and,floral polyester v neck womens straight top - powder blue,"Size:8,10,12,14,16,18",Nan,2099,55% off,Westernwear-Women
211,zink london,textured polyester boat neck womens dress - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
2699",1619,40% off,Westernwear-Women
